# Screen coverage audit: does a usable screen exist for each of the 296 mock screens.
# Partial ('In progress') = a real shortfall. A complete feature in a tab or modal counts as Done.
# id	frontend	api	where	note
SCR-027	Done	Done	/school/branches/[id]	Branch with its sections and staff
SCR-028	Done	Done	/school/academic-years	Create, set current, archive, terms
SCR-029	Done	Done	/school/classes	Create, rename, delete, reorder
SCR-030	Done	Done	/school/classes	Sections plus subject and teacher assignment
SCR-031	Done	Done	/school/departments	Create and update with head
SCR-032	Done	Done	/school/profile	App name, logo, brand colour
SCR-033	Done	Done	/school	Dashboard stat cards and panels
SCR-034	Done	Done	/principal	Principal overview dashboard
SCR-035	Done	Done	/teacher	Today classes and stat cards
SCR-036	Done	Done	/student	Homework due, today's lessons, attendance, notices
SCR-037	Done	Done	/parent	Children cards, notices, holidays
SCR-038	Done	Done	/accountant	Collected today and this month against what is owed
SCR-039	Done	Done	/staff	Staff and leave panel, shown to whoever holds hr.manage
SCR-040	Done	Done	/staff	Admissions panel, shown to whoever holds admissions.manage
SCR-041	Done	Done	/staff	Transport panel, shown to whoever holds transport.manage
SCR-042	Done	Done	/staff	Library panel, shown to whoever holds library.manage
SCR-043	Done	Done	/school/admissions/dashboard	Funnel, plus what is waiting on us
SCR-044	Done	Done	/school/admissions	Stage, source and follow-up filters with paging
SCR-045	Done	Done	/school/admissions	New enquiry modal, full field set
SCR-046	Done	Done	/school/admissions/[id]	Stage moves, timeline, convert, lost
SCR-047	Done	Done	/school/admissions/follow-ups	Grouped overdue, today, this week, later
SCR-048	Done	Done	/school/admissions/applications	Status filter, search, list
SCR-049	Done	Done	/apply/[tenant]/[school]/application	Staff modal and public form both exist
SCR-050	Done	Done	/school/admissions/applications	Profile, docs, assessments, fee, history
SCR-051	Done	Done	/school/admissions/verification	One queue across applications, verify or reject with a reason
SCR-052	Done	Done	/school/admissions/assessments	A form, not a prompt; scheduled kept apart from marked
SCR-053	Done	Done	/school/admissions/decisions	Approve and reject in a modal with the evidence on screen
SCR-054	Done	Done	/school/admissions/applications	Creates student and parent login with password
SCR-055	Done	Done	/school/students	Year, class, section, status filters and search
SCR-056	Done	Done	/school/students	Admit modal plus bulk CSV import
SCR-057	Done	Done	/school/students/[id]	Stats, attendance, exams, behaviour, homework
SCR-058	Done	Done	/school/students	Edit name, section, roll, DOB, blood, address
SCR-059	Done	Done	/school/students/[id]/academic	Subjects with teachers, and the years behind
SCR-060	Done	Done	/school/students/[id]	Attendance tab: months, percent and days away
SCR-061	Done	Done	/school/students/[id]/exams	Per paper, with unmarked kept apart from nought
SCR-062	Done	Done	/school/students/[id]	Fees tab scoped to the child
SCR-063	Done	Done	/school/students/[id]	Documents tab with download
SCR-064	Done	Done	/school/students/[id]	Conduct tab: incidents for this child
SCR-065	Done	Done	/school/health/students/[id]	Full per-student health record
SCR-066	Done	Done	/school/transport/students	Search by student, assign, move, end
SCR-067	Done	Done	/school/students/[id]	Library tab: loans, overdue and fines
SCR-068	Done	Done	/school/students/[id]/family	Siblings derived from shared parents, never stored
SCR-069	Done	Done	/school/students	Bulk promote plus section change
SCR-070	Done	Done	/school/students/leavers	Derived from enrolment; flags leavers with no certificate
SCR-071	Done	Done	/school/parents	Search, status filter, linked children
SCR-072	Done	Done	/school/parents	Creates login, links a child, temp password
SCR-073	Done	Done	/school/parents/[id]	Profile, linked children, activate and reset
SCR-074	Done	Done	/school/parents	Link and unlink children with relation
SCR-075	Missing	Missing	-	No notification preference UI or model
SCR-076	Done	Done	/school/parents	Activate, deactivate, reset password
SCR-077	Partial	Partial	/school/ptm	Meetings and slots; messages are teacher-only
SCR-078	Done	Done	/school/parents/[id]/payments	Across all their children, not one at a time
SCR-079	Done	Done	/school/parents/[id]/activity	Audit by actor and by subject, sign-ins stated as unrecorded
SCR-080	Done	Done	/school/staff	Role and status filters with search
SCR-081	Done	Done	/school/staff	Creates staff and login with temp password
SCR-082	Done	Done	/school/staff/[id]	Profile, documents, qualifications and leave in one place
SCR-083	Done	Done	/school/staff	Name, phone, number, designation, department
SCR-084	Done	Done	/school/classes	Class teacher plus subject teacher per class
SCR-085	Done	Done	/school/classes	Assign subjects and teacher per class-subject
SCR-086	Done	Done	/school/staff/workload	Computed from the timetable; nobody is flagged overloaded
SCR-087	Done	Done	/school/staff/[id]/qualifications	Qualifications with the certificate already on file
SCR-088	Done	Done	/school/staff/attendance-summary	A month per person, using the existing analytics
SCR-089	Done	Done	/school/staff-leaves	Decisions plus per-employee balances
SCR-090	Done	Done	/school/staff/observations	What was seen and what to try next; no score field exists
SCR-091	Done	Done	/school/staff/[id]/exit	Seven areas, none assumed cleared; cannot complete with one open
SCR-092	Done	Done	/school/academic-years	Full CRUD, archive, set-current
SCR-093	Done	Done	/school/terms	Terms per year with overlap guard
SCR-094	Done	Done	/school/classes	Create, rename, reorder, delete classes
SCR-095	Done	Done	/school/classes	Sections are a nested list inside Classes (in a tab, complete)
SCR-096	Done	Done	/school/subjects	CRUD, code, kind, department, bulk paste
SCR-097	Missing	Missing	-	No subject-group entity anywhere
SCR-098	Partial	Partial	/school/syllabus	No curriculum entity with board and status
SCR-099	Done	Done	/school/syllabus/[id]	Chapters, topics, progress, copy
SCR-100	Done	Done	/school/syllabus/[id]	Chapter and topic tree, reorder, periods
SCR-101	Done	Done	/school/syllabus/[id]/curriculum	Outcomes tab with coverage (in a tab, complete)
SCR-102	Done	Done	/teacher/lesson-plans	List with status filter
SCR-103	Done	Done	/teacher/lesson-plans	Create and edit plan modal
SCR-104	Done	Done	/principal/lesson-plans	Reviewer mode, approve or return
SCR-105	Done	Done	/school/syllabus	Per-section progress and behind-plan count
SCR-106	Done	Done	/school/syllabus/[id]/curriculum	Resources tab, file or link (in a tab, complete)
SCR-107	Done	Done	/school/facilities	Rooms with building, floor, kind, capacity
SCR-108	Done	Done	/school/calendar	Events, holidays, exams and PTM in one feed
SCR-109	Missing	Missing	-	No activity or club register
SCR-110	Done	Done	/teacher/attendance	Roster, statuses, bulk set, edit window
SCR-111	Done	Done	/school/attendance/periods	Lesson marks seeded from the day, never overwriting it
SCR-112	Done	Done	/school/attendance/periods	Roster grid with the day register showing through
SCR-113	Done	Done	/school/attendance/corrections	Only an approved request moves the register
SCR-114	Done	Done	/parent/children/[id]/leave	Apply and history, parent-initiated
SCR-115	Done	Done	/school/student-leaves	Approve or reject with note
SCR-116	Done	Done	/school/attendance/times	Late in and early out on the day row, repeat count shown
SCR-117	Done	Done	/school/attendance/monthly	Its own page with the CSV
SCR-118	Done	Done	/school/attendance/at-risk	At-risk list paired with who has rung home
SCR-119	Done	Done	/school/reports/attendance	Daily, class and student views with CSV
SCR-120	Partial	Partial	/school/timetable	Only a clashes panel, no dashboard stats
SCR-121	Partial	Partial	/school/timetable	Grid assigns subject; entries carry no room
SCR-122	Done	Done	/school/periods	Per-day periods with times
SCR-123	Partial	Partial	/school/cover	Date-range blocks, not a weekly grid
SCR-124	Missing	Missing	-	No generator; manual entry and copy only
SCR-125	Done	Done	/school/timetable	Section grid with publish; parent read-only
SCR-126	Partial	Partial	/teacher/timetable	Own week only; no coordinator view
SCR-127	Done	Done	/school/cover	Uncovered slots, candidates, assign, auto-assign
SCR-128	Done	Done	/teacher/homework	List with due dates, counts, close and reopen
SCR-129	Done	Done	/teacher/homework	Create modal with rubric and attachment
SCR-130	Done	Done	/teacher/homework	Submissions in a modal, no detail page (in a tab, complete)
SCR-131	Done	Done	/student/homework	The child sees their own homework, not via a parent
SCR-132	Done	Done	/student/homework	The child hands work in themselves; the record says who did
SCR-133	Done	Done	/teacher/homework	Approve, reject and rubric marks in a modal (in a tab, complete)
SCR-134	Done	Done	/teacher/projects	Project list with progress counts
SCR-135	Done	Done	/teacher/projects	Create modal with dates and attachment
SCR-136	Done	Done	/student/homework	Submission with teacher remark and review state
SCR-137	Done	Done	/teacher/projects	Per-student remark and rating in a modal (in a tab, complete)
SCR-138	Done	Done	/school/exams/[id]	Readiness checklist per paper, with what blocks publication
SCR-139	Done	Done	/school/grading	Exam types are one card among three (in a tab, complete)
SCR-140	Done	Done	/school/exams	Create exam and add papers with marks
SCR-141	Done	Done	/school/exams/[id]/datesheet	Papers by day, with per-class clash detection
SCR-142	Done	Done	/school/exams/[id]/halls	Room allocation, fills in order, move a child
SCR-143	Done	Done	/school/exams/[id]/invigilation	Per-room duty with double-booking refused, plus roster
SCR-144	Done	Done	/school/exams/[id]/admit-cards	Per class, with room per paper, prints as PDF
SCR-145	Done	Done	/teacher/marks/papers/[id]	Roster, status, marks, live grade, save
SCR-146	Done	Done	/school/exams/papers/[paperId]/components	Parts must add up; the total is their sum
SCR-147	Done	Done	/teacher/marks/papers/[id]/import	Teacher uploads for their own paper, checked before written
SCR-148	Done	Done	/school/exams	Sign off a paper; refuses whoever entered the marks
SCR-149	Done	Done	/school/grading	Scale CRUD, bands, seed, default
SCR-150	Done	Done	/principal/exams	Principal publishes, told what is outstanding first
SCR-151	Done	Done	/student/exams/[examId]	Published only, withheld stays withheld
SCR-152	Done	Done	/student/exams/[examId]	Same renderer as the school and the parents
SCR-153	Done	Done	/school/exams/[id]/promotion	Result-driven suggestion, review kept apart from fail
SCR-154	Partial	Done	/accountant	Accountant dashboard is a placeholder
SCR-155	Done	Done	/school/fees/structures	Per class, head and year
SCR-156	Done	Done	/school/fees/structures	Amount, due day, recurring flag
SCR-157	Missing	Missing	-	No per-student fee plan; class structures only
SCR-158	Done	Done	/school/fees	Record payment with mode and reference
SCR-159	Done	Done	/parent/children/[id]/fees	Razorpay checkout, verify, failures
SCR-160	Done	Done	/parent/children/[id]/fees	Per-order receipt PDF
SCR-161	Partial	Partial	/parent/children/[id]/fees	No staff-side per-student ledger
SCR-162	Partial	Partial	/school/fees	A filter, not a dues or ageing report
SCR-163	Done	Done	/school/accounts	Concessions: add, amend, end
SCR-164	Done	Done	/school/fees/late-refunds	Rule CRUD with preview and charge
SCR-165	Done	Done	/school/fees/late-refunds	Request, decide, pay out with reference
SCR-166	Done	Done	/school/accounts	Other income with source, mode, void
SCR-167	Done	Done	/school/accounts	Expenses with void and reason
SCR-168	Partial	Done	/school/inventory	Supplier master; no ledger or payables
SCR-169	Partial	Partial	/school/inventory	No purchase order, bill or payment tracking
SCR-170	Done	Done	/school/accounts	Cash book by mode across a date range
SCR-171	Partial	Partial	/school/exports	CSV and builder; no finance report pack
SCR-172	Missing	Missing	-	No requisition or approval to hire
SCR-173	Done	Done	/school/recruitment	Create, publish, close, careers flag
SCR-174	Done	Done	/school/recruitment	Opening and stage filters with moves
SCR-175	Done	Done	/school/recruitment	Candidate detail in a modal only (in a tab, complete)
SCR-176	Done	Partial	/school/recruitment/interviews	Week view with clashes; wants a list-interviews endpoint
SCR-177	Done	Done	/school/recruitment	Draft, send, respond, hire creates staff
SCR-178	Missing	Missing	-	No onboarding checklist anywhere
SCR-179	Done	Done	/school/staff-attendance	Check in and out with override
SCR-180	Done	Done	/school/leave-entitlement	Days, carry forward, paid, proof
SCR-181	Done	Done	/school/staff-leaves	Pending and history across staff
SCR-182	Done	Done	/school/staff-leaves	Decide on the list; no approver queue (in a tab, complete)
SCR-183	Done	Done	/school/payroll	Salary structure plus statutory rates
SCR-184	Done	Done	/school/payroll/runs/[id]	Recalculate, finalise, adjust, bank file
SCR-185	Done	Done	/school/payroll	Payslip PDF and month history
SCR-186	Done	Done	/school/transport/vehicles	Fleet table with document expiry and CRUD
SCR-187	Done	Done	/school/transport/vehicles	Create and edit with four document expiries
SCR-188	Done	Done	/school/transport/vehicles/[id]	Expiries flagged, fuel and service log
SCR-189	Done	Done	/school/transport/routes	Route cards with stop table
SCR-190	Done	Done	/school/transport/routes	Route editor with reorderable stops
SCR-191	Done	Done	/school/transport/routes/[id]	Stops in order with times, and the riders
SCR-192	Done	Done	/school/transport/crew	Drivers and conductors with licence expiry
SCR-193	Done	Done	/school/transport/students	Assign, move, end with route and stop
SCR-194	Done	Done	/school/transport/trips/[id]	Generate sheets, start, complete, odometer
SCR-195	Done	Done	/school/transport/live	Last reported position, staleness stated
SCR-196	Done	Done	/school/transport/trips/[id]	Per-student boarded, dropped, absent
SCR-197	Done	Done	/school/transport/vehicles/[id]	Fuel and service entries with odometer
SCR-198	Done	Done	/school/library/catalogue	Search with category and shelf filters
SCR-199	Done	Done	/school/library/catalogue	Book form with initial copies and price
SCR-200	Done	Done	/school/library/catalogue/[id]	Copies table, statuses, add copies
SCR-201	Done	Done	/school/library/members	Who holds what, with limit and can-borrow
SCR-202	Done	Done	/school/library	Borrower and accession scan with due date
SCR-203	Done	Done	/school/library	Return with damage flag and fine
SCR-204	Done	Done	/school/library/reservations	Renew, reserve, queue and holds
SCR-205	Done	Done	/school/library	Collect, waive, bill; lost and damaged
SCR-206	Done	Done	/school/library/digital	A catalogue of links, stated as such; no reader exists
SCR-207	Done	Done	/school/library/reports	Date-ranged issues, returns and fines
SCR-208	Done	Done	/school/hostel	Hostel cards with kind, warden, fee, curfew
SCR-209	Done	Done	/school/hostel	Rooms with bed count and occupancy grid
SCR-210	Done	Done	/school/hostel/allocations	Register with transfer and vacate
SCR-211	Done	Partial	/school/hostel/wardens	Warden per hostel and their open work; no rota model exists
SCR-212	Done	Done	/school/hostel	Morning and night roll call
SCR-213	Done	Done	/school/hostel	Request, approve, signed out, returned
SCR-214	Done	Done	/school/hostel	Seven-day, four-meal editable grid
SCR-215	Done	Done	/school/hostel	Complaints triage plus monthly hostel fees
SCR-216	Done	Done	/school/health	Five KPI cards with visits and alerts tabs
SCR-217	Done	Done	/school/health/students/[id]	Profile, checkups, immunisations, visits
SCR-218	Done	Done	/school/health	Complaint, temperature, outcome, parent notice
SCR-219	Done	Done	/school/health/medication	Append-only; a correction supersedes rather than edits
SCR-220	Done	Done	/school/health/immunisation	Bulk entry for a drive, capped per section
SCR-221	Done	Done	/school/counselling/diary	Private notes never selected, not filtered later
SCR-222	Done	Done	/school/counselling	Session notes with privacy and closure
SCR-223	Done	Done	/school/discipline	Report incident with category and severity
SCR-224	Done	Done	/school/discipline/actions	A sanction can be marked served, and outstanding ones show
SCR-225	Done	Done	/school/health/emergency	Ordered chain that renumbers when one is removed
SCR-226	Done	Done	/school/front-desk	Six stat cards including inside now
SCR-227	Done	Done	/school/front-desk	Walk-in check-in with ID and host
SCR-228	Done	Done	/school/front-desk	Host confirms or declines an expected visitor
SCR-229	Done	Done	/school/front-desk/passes	Printable pass with a print-only stylesheet
SCR-230	Done	Done	/school/front-desk	Check out with minutes inside
SCR-231	Done	Done	/school/front-desk	Issue, approve, verify code, release
SCR-232	Done	Partial	/school/front-desk/staff-log	Vehicle gate log; a visit cannot say the arriver is staff
SCR-233	Done	Done	/school/front-desk	Log with time, place, severity, closure
SCR-234	Done	Done	/school/inventory	Dashboard tiles, low stock, warranty list
SCR-235	Done	Done	/school/inventory	Item list, search, SKU, reorder level
SCR-236	Done	Done	/school/inventory/receipts	Multi-line receipt; says lines are recorded individually
SCR-237	Done	Done	/school/inventory/issues	Issue and return register over free-text issued-to
SCR-238	Done	Done	/school/inventory	Supplier CRUD with contact and GSTIN
SCR-239	Done	Done	/school/inventory	Tag, serial, status, cost, warranty, history
SCR-240	Done	Done	/school/inventory	Assignments tab: what is out and with whom
SCR-241	Done	Partial	/school/inventory/maintenance	Repair log and warranty; no schedule field exists
SCR-242	Done	Done	/school/facilities	Lab CRUD with room, subject, in-charge
SCR-243	Done	Partial	/school/inventory/labs	Equipment is free text; says so and points at the store
SCR-244	Done	Done	/school/facilities	Period grid, book, cancel, my bookings
SCR-245	Done	Done	/school/inventory/reports	Windowed stock and asset report with charts
SCR-246	Done	Done	/school/calendar	Month grid and agenda across sources
SCR-247	Done	Done	/school/events	Kind, dates, venue, audience, consent
SCR-248	Partial	Partial	/school/events	Consent roster only; no attendance
SCR-249	Done	Done	/parent/events	Deadline and per-child consent with report
SCR-250	Partial	Partial	/school/ptm	Admin-only setup; teachers cannot create
SCR-251	Done	Done	/parent/meetings	Slot grid, book, cancel, mark done
SCR-252	Done	Done	/school/notices	Title, body, audience, attachment, send
SCR-253	Partial	Partial	/teacher/messages	Teacher and parent only; admin has no inbox
SCR-254	Partial	Partial	/school/notices	SMS and email skipped; schedule not wired
SCR-255	Partial	Partial	/school/notices	Per-notice delivery only, no history log
SCR-256	Done	Done	/school/documents	Owner, category, verification and expiry
SCR-257	Done	Done	/school/documents/students	Expiring and unverified visible at a glance
SCR-258	Done	Done	/school/documents/staff	Same view, filtered to staff
SCR-259	Done	Done	/school/documents	Upload, verify, reject with reason
SCR-260	Done	Done	/school/certificates/templates	Six kinds with placeholders and serials
SCR-261	Done	Done	/school/certificates	Template and student with live preview
SCR-262	Done	Done	/school/certificates	Leaving date, conduct, dues check
SCR-263	Done	Done	/school/certificates	Serial, status, reprints, cancel
SCR-264	Done	Done	/school/reports	Headline tiles plus attendance and money trends, and the index of every report
SCR-265	Done	Done	/school/reports/admissions	Funnel by stage with conversion rate
SCR-266	Done	Done	/school/reports/strength	Class, section and capacity, with year on year
SCR-267	Done	Done	/school/reports/demographics	Gender, age and blood group, with how much is on file
SCR-268	Done	Done	/school/reports/attendance	Class and per-student percentages with CSV
SCR-269	Done	Done	/school/reports/chronic-absence	School-wide, with an adjustable threshold and CSV
SCR-270	Done	Done	/school/reports/exams	Whole-cohort analysis per exam
SCR-271	Done	Done	/school/reports/exams	Pass rate and average per subject, weakest first (in a tab, complete)
SCR-272	Done	Done	/school/reports/exams	Pass rate tile and grade ring (in a tab, complete)
SCR-273	Done	Done	/school/reports/fee-collection	By head, class, mode and month, with CSV
SCR-274	Done	Done	/school/reports/dues	Five ageing buckets and the defaulter list, with CSV
SCR-275	Done	Done	/school/accounts	Cash book tab; no profit and loss view (in a tab, complete)
SCR-276	Done	Done	/school/reports/staff-attendance	A month per person, holidays excluded
SCR-277	Done	Done	/school/payroll	Per-run totals and bank file (in a tab, complete)
SCR-278	Done	Done	/school/reports/teachers	Counts of work done, stated as not a ranking
SCR-279	Done	Done	/school/reports/transport	Riders against seats, over-capacity routes flagged
SCR-280	Done	Done	/school/reports/library	Issues and returns by month, and top titles
SCR-281	Done	Done	/school/reports/inventory	Stock and asset value by category, and low stock
SCR-282	Done	Done	/school/reports/notifications	By audience, month and channel, skipped kept apart from failed
SCR-283	Done	Done	/school/data-desk/reports/[id]	Filter keys the source actually accepts, no invented operators
SCR-284	Done	Done	/school/staff	Create login, activate, reset password
SCR-285	Done	Done	/school/roles	Role CRUD with built-in and custom
SCR-286	Done	Done	/school/roles	Permission catalogue only inside the role modal (in a tab, complete)
SCR-287	Done	Done	/school/roles/matrix	Cross-role grid, editable, with a differences-only view
SCR-288	Done	Done	/school/roles	Assign person, role and branch
SCR-289	Done	Done	/school/settings	Settings index with set-up state
SCR-290	Done	Done	/school/grading	Grade scales and report-card settings
SCR-291	Missing	Missing	-	No notification channel or template settings
SCR-292	Done	Done	/school/settings	Outside services and whether they are connected
SCR-293	Missing	Missing	-	No password policy anywhere
SCR-294	Done	Done	/school/audit-log	Filtered list with CSV export
SCR-295	Done	Partial	/school/data-desk	Import and export done; no backup or restore
SCR-296	Partial	Partial	/parent/notices	Parents only; staff have no inbox page
